81,0
81,1
81,2
79,3
81,3
78,4
80,4
78,5
78,6
77,7
77,8
77,9
77,10
77,11
77,12
78,13
78,14
78,15
78,16
78,17
78,18
78,19
78,20
78,21
78,22
78,23
78,24
78,25
77,26
77,27
77,28
77,29
77,30
78,31
77,32
78,33
78,34
79,35
79,36
78,37
78,38
78,39
78,40
78,41
78,42
78,43
78,44
78,45
78,46
78,47
78,48
78,49
78,50
78,51
78,52
78,53
78,54
78,55
78,56
78,57
78,58
78,59
78,60
77,61
77,62
77,63
77,64
77,65
76,66
76,67
20,68
21,68
22,68
23,68
24,68
25,68
26,68
27,68
28,68
29,68
76,68
16,69
17,69
18,69
19,69
30,69
75,69
15,70
31,70
32,70
33,70
75,70
14,71
34,71
74,71
14,72
35,72
36,72
74,72
12,73
13,73
37,73
38,73
39,73
73,73
11,74
40,74
41,74
73,74
10,75
42,75
43,75
72,75
9,76
44,76
72,76
8,77
45,77
70,77
71,77
73,77
7,78
46,78
69,78
72,78
6,79
47,79
48,79
68,79
6,80
49,80
50,80
67,80
5,81
51,81
52,81
53,81
54,81
66,81
5,82
55,82
56,82
57,82
59,82
60,82
61,82
63,82
64,82
65,82
5,83
58,83
62,83
5,84
5,85
4,86
3,87
3,88
3,89
3,90
2,91
2,92
2,93
2,94
2,95
1,96
1,97
1,98
1,99
0,100
0,101
0,102
0,103
0,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
2,125
2,126
3,127
3,128
3,129
3,130
5,130
4,131
6,131
6,132
5,133
4,134
4,135
4,136
4,137
5,138
5,139
7,139
6,140
8,140
5,141
7,141
5,142
6,143
7,144
7,145
8,146
9,147
61,147
62,147
63,147
64,147
65,147
66,147
67,147
68,147
69,147
70,147
71,147
9,148
60,148
72,148
73,148
10,149
11,149
57,149
58,149
59,149
74,149
12,150
54,150
55,150
56,150
75,150
12,151
52,151
53,151
75,151
13,152
50,152
51,152
76,152
14,153
48,153
49,153
77,153
15,154
46,154
47,154
78,154
16,155
43,155
44,155
45,155
78,155
17,156
42,156
78,156
18,157
40,157
41,157
78,157
19,158
38,158
39,158
79,158
20,159
37,159
79,159
21,160
35,160
36,160
80,160
22,161
23,161
33,161
34,161
80,161
24,162
25,162
27,162
28,162
29,162
30,162
31,162
32,162
80,162
26,163
80,163
80,164
80,165
80,166
81,167
81,168
81,169
81,170
82,171
82,172
82,173
82,174
82,175
81,176
81,177
81,178
81,179
81,180
80,181
80,182
80,183
80,184
80,185
80,186
80,187
80,188
80,189
80,190
80,191
80,192
81,193
81,194
81,195
81,196
81,197
81,198
81,199
81,200
80,201
81,202
81,203
80,204
80,205
80,206
80,207
80,208
80,209
80,210
80,211
80,212
80,213
79,214
79,215
80,216
80,217
80,218
80,219
80,220
82,220
81,221
83,221
80,222
82,222
80,223
80,224
80,225
80,226
79,227
79,228
79,229
79,230
79,231
78,232
77,233
77,234
77,235
78,236
79,237
80,238
